spatial_cluster,raw_risk,risk_score,peak_hour
0,53.75337382048724,0.4887249136870239,22
1,16.310236261719346,0.09341334864768448,10
2,36.0125376006553,0.30142336289788274,18
3,12.29295074332552,0.051000251641761585,20
4,54.01703977975564,0.49150860676943187,21
5,94.24349010250478,0.9162054155799827,20
6,43.380623176198945,0.37921303625632946,20
7,9.698930182355141,0.023613488817947396,14
8,81.79673271035801,0.7847968994899006,16
9,32.42595371366631,0.26355746324443635,9
10,21.47492396090141,0.1479403170166854,19
11,22.311248445183672,0.15676993873958298,18
12,18.392394733806952,0.1153960503635595,19
13,16.895019974521038,0.09958729078472689,20
14,86.9601258329751,0.8393102001718077,10
15,15.708379621535686,0.0870591565080194,22
16,37.4875873065222,0.3169964223623004,18
17,25.36170933664457,0.18897563910863047,19
18,13.215903334564297,0.06074446265311362,16
19,16.223136012848002,0.09249377464984294,22
20,88.3896867769727,0.8544030051805716,11
21,22.980826100449953,0.16383910569716617,22
22,20.358801992342343,0.13615669120612467,17
23,29.01693597575045,0.2275662449575805,19
24,20.079638270882228,0.13320937816486586,20
25,21.551983290432887,0.1487538824960782,15
26,12.355102005369254,0.0516564229529696,11
27,38.72817331953091,0.3300940960708315,9
28,49.94975384671965,0.44856762285409096,20
29,38.53093477136009,0.32801172038740706,18
30,41.644989971917006,0.36088882725429106,22
31,14.207471948689228,0.07121309766208946,10
32,33.97938773048946,0.27995807687922797,20
33,23.385282069271497,0.16810921051339323,17
34,75.02275529486259,0.7132796125248937,22
35,39.3686851701389,0.33685639641739523,21
36,23.15394243433706,0.1656668074696305,18
37,14.378522130939794,0.07301898572741536,18
38,17.50410125613177,0.10601775816454515,19
39,12.473113189818635,0.05290234380945794,17
40,19.757181411669436,0.12980499130030326,22
41,75.26997517486026,0.7158896736480388,16
42,25.23897963448068,0.18767990179059524,21
43,18.84552814364387,0.12018007459585302,11
44,27.158716675023854,0.20794781477651983,11
45,16.335767977126697,0.09368290357907819,21
46,26.528400672341647,0.2012931586302884,10
47,22.36862708117242,0.15737572233228894,19
48,102.18034909828515,1.0,10
49,15.724454780954606,0.08722887242507299,20
50,19.564594156659307,0.12777172234507234,11
51,45.181380664295695,0.39822480469476634,17
52,40.25392962071976,0.34620249805356973,16
53,29.46358230303618,0.23228178083865547,18
54,23.723581001491556,0.17168085245010734,9
55,27.347969549200275,0.2099458805038231,17
